1959-01-01 289.8
1959-02-01 287.7
1959-03-01 287.9
1959-04-01 290.2
1959-05-01 290.2
1959-06-01 292.5
1959-07-01 294.4
1959-08-01 294.8
1959-09-01 296.1
1959-10-01 296.9
1959-11-01 297.8
1959-12-01 300.6
1960-01-01 301.5
1960-02-01 298.5
1960-03-01 298.2
1960-04-01 300.3
1960-05-01 298.9
1960-06-01 300.9
1960-07-01 303.5
1960-08-01 305.2
1960-09-01 307.8
1960-10-01 309.9
1960-11-01 311.7
1960-12-01 315.3
1961-01-01 317.5
1961-02-01 316.6
1961-03-01 317.2
1961-04-01 320.2
1961-05-01 320
1961-06-01 322.7
1961-07-01 324.9
1961-08-01 325.8
1961-09-01 328.8
1961-10-01 331.5
1961-11-01 334.1
1961-12-01 338.5
1962-01-01 341.1
1962-02-01 340.3
1962-03-01 342.1
1962-04-01 346
1962-05-01 345
1962-06-01 347.7
1962-07-01 350.1
1962-08-01 350.9
1962-09-01 353.9
1962-10-01 357.5
1962-11-01 360.5
1962-12-01 365.8
1963-01-01 369.1
1963-02-01 368
1963-03-01 369.8
1963-04-01 373.8
1963-05-01 373.4
1963-06-01 376.7
1963-07-01 380.2
1963-08-01 381.5
1963-09-01 384.9
1963-10-01 388.8
1963-11-01 392.3
1963-12-01 396.4
1964-01-01 399.5
1964-02-01 397.6
1964-03-01 398.9
1964-04-01 402.4
1964-05-01 401.3
1964-06-01 405.3
1964-07-01 409.3
1964-08-01 411.1
1964-09-01 415.7
1964-10-01 419.9
1964-11-01 422.9
1964-12-01 428.3
1965-01-01 432.3
1965-02-01 430.1
1965-03-01 432.2
1965-04-01 436.2
1965-05-01 433.7
1965-06-01 438.4
1965-07-01 442.1
1965-08-01 443.3
1965-09-01 448.4
1965-10-01 453.6
1965-11-01 456.7
1965-12-01 463.1
1966-01-01 467.1
1966-02-01 463.7
1966-03-01 465.9
1966-04-01 470.1
1966-05-01 466.2
1966-06-01 469.6
1966-07-01 470.3
1966-08-01 470.1
1966-09-01 474.6
1966-10-01 476.9
1966-11-01 478.1
1966-12-01 483.7
